Nombre Producto,Sub Categoría Producto,Categoría Producto,Color,Fecha,Cantidad,Precio,Nombre Cliente,Genero,Ingreso Anual,Estado Civil,Rango Edad,Tipo Tienda,Nombre Tienda,País,Fecha actual,Costo
Audífono Adapter for Contoso Teléfono E130 Blanco,Accesorios de Teléfonos Móviles,Teléfonos Móviles,Blanco,09/12/2018,1,250,"Garcia, Andrew",Masculino,50000,Soltero,Entre 41 y 50 años,Tienda,Tienda Fortaleza,Brasil,18/11/2025,185
Contoso Air Conditioner 12000BTU M0640 Blanco,Aires Acondicionados,Electrodomésticos,Blanco,08/12/2018,1,2000,"Reed, Angela",Femenino,50000,Soltero,Entre 41 y 50 años,Tienda,Tienda Fortaleza,Brasil,17/11/2025,1279
WWI 2GB Pulse Smart pen M100 Dorado,Grabadora,Audio,Dorado,08/12/2018,1,"199,95","Wood, Rachel",Femenino,90000,Soltero,Entre 51 y 60 años,Tienda,Tienda Fortaleza,Brasil,17/11/2025,124
Contoso Touch Stylus Pen E150 Negro,Accesorios de Teléfonos Móviles,Teléfonos Móviles,Negro,08/12/2018,1,250,"Foster, Thomas",Masculino,80000,Soltero,Entre 41 y 50 años,Tienda,Tienda Fortaleza,Brasil,17/11/2025,181
Contoso Original K1m Li-Ion Standard Battery E170 Dorado,Accesorios de Teléfonos Móviles,Teléfonos Móviles,Dorado,08/12/2018,1,250,"Anderson, Robert",Masculino,80000,Casado,Entre 41 y 50 años,Tienda,Tienda Fortaleza,Brasil,17/11/2025,157
Cigarette Lighter Adapter for Contoso Teléfonos E110 Blanco,Accesorios de Teléfonos Móviles,Teléfonos Móviles,Blanco,08/12/2018,1,"24,99","King, Timothy",Masculino,50000,Soltero,Entre 51 y 60 años,Tienda,Tienda Porto Alegre,Brasil,17/11/2025,15
Audífono Adapter for Contoso Teléfono E130 Blanco,Accesorios de Teléfonos Móviles,Teléfonos Móviles,Blanco,08/12/2018,1,250,"Lee, Alexandra",Femenino,90000,Soltero,Entre 51 y 60 años,Tienda,Tienda Fortaleza,Brasil,17/11/2025,155
MGS Age of Empires ExpansiActivo: The Rise of Rome 2009 E181,Juegos para Descargar,Juegos y juguetes,Azul,08/12/2018,1,32,"Rogers, Abigail",Femenino,90000,Casado,Entre 51 y 60 años,Tienda,Tienda Fortaleza,Brasil,17/11/2025,20
Contoso Laptop Cooling Hub notebook fan with 4 ports USB hub E80 Blanco,Accesorios de Computadoras,Computadoras,Blanco,08/12/2018,51,1000,"Williams, Nicole",Femenino,90000,Soltero,Entre 51 y 60 años,Tienda,Tienda Fortaleza,Brasil,17/11/2025,664
Cigarette Lighter Adapter for Contoso Teléfonos E110 Rojo,Accesorios de Teléfonos Móviles,Teléfonos Móviles,Rojo,08/12/2018,1,"24,99","Patterson, Thomas",Masculino,80000,Casado,Entre 41 y 50 años,Tienda,Tienda Fortaleza,Brasil,17/11/2025,15
A. Datum Super-zoom Digital Camera X300 Naranja,Cámaras Digitales,Cámaras y videocámaras,Naranja,08/12/2018,1,290,"Griffin, Emily",Femenino,80000,Soltero,Entre 41 y 50 años,Tienda,Tienda Fortaleza,Brasil,17/11/2025,199
Adventure Works Chandelier M6150 Gris Plata,Lámparas,Electrodomésticos,Gris Plata,08/12/2018,1,"229,99","Hernandez, Kristy",Femenino,90000,Soltero,Entre 51 y 60 años,Tienda,Tienda Fortaleza,Brasil,17/11/2025,170
Contoso Rubberized Skin NegroBerry E100 Blanco,Accesorios de Teléfonos Móviles,Teléfonos Móviles,Blanco,08/12/2018,1,"14,99","Hill, Caleb",Masculino,30000,Casado,Entre 41 y 50 años,Tienda,Tienda Porto Alegre,Brasil,17/11/2025,10
Contoso Touch Stylus Pen E150 Blanco,Accesorios de Teléfonos Móviles,Teléfonos Móviles,Blanco,08/12/2018,4,250,"Gray, Kaylee",Femenino,50000,Soltero,Entre 51 y 60 años,Tienda,Tienda Fortaleza,Brasil,17/11/2025,165
"Fabrikam Independent Filmmaker 2/3"" 17mm X100 Azul",Videocámaras,Cámaras y videocámaras,Azul,08/12/2018,51,1520,"Collins, Miguel",Masculino,80000,Casado,Entre 41 y 50 años,Tienda,Tienda Fortaleza,Brasil,17/11/2025,925
Contoso Teléfono Tough Skin Case E140 Rosa,Accesorios de Teléfonos Móviles,Teléfonos Móviles,Rosa,08/12/2018,1,"23,72","Jenkins, Paige",Femenino,90000,Soltero,Entre 51 y 60 años,Tienda,Tienda Fortaleza,Brasil,17/11/2025,15
Adventure Works Wall Lamp E3150 Dorado,Lámparas,Electrodomésticos,Dorado,08/12/2018,1,"101,99","Green, Nathan",Masculino,30000,Soltero,Entre 26 y 40 años,Tienda,Tienda Fortaleza,Brasil,17/11/2025,66
Fabrikam Coffee Maker Auto 5C E090 Dorado,Máquinas de café,Electrodomésticos,Dorado,08/12/2018,3,163,"Lewis, Tyler",Masculino,50000,Soltero,Entre 51 y 60 años,Tienda,Tienda Fortaleza,Brasil,17/11/2025,102
Cigarette Lighter Adapter for Contoso Teléfonos E110 Negro,Accesorios de Teléfonos Móviles,Teléfonos Móviles,Negro,08/12/2018,4,"24,99","Cook, Emma",Femenino,80000,Soltero,Entre 41 y 50 años,Tienda,Tienda Fortaleza,Brasil,17/11/2025,17
Fabrikam Coffee Maker 5C E090 Dorado,Máquinas de café,Electrodomésticos,Dorado,08/12/2018,1,149,"Green, Sara",Femenino,70000,Soltero,Entre 51 y 60 años,Tienda,Tienda Fortaleza,Brasil,17/11/2025,109
Contoso Rubberized Snap-Activo Cover Hard Case Cell Teléfono Protector E160 Rosa,Accesorios de Teléfonos Móviles,Teléfonos Móviles,Rosa,08/12/2018,1,250,"Adams, Evan",Masculino,90000,Soltero,Entre 51 y 60 años,Tienda,Tienda Fortaleza,Brasil,17/11/2025,180
MGS Zoo TycoActivo 2: African Adventure 2008 E136,Juegos para Descargar,Juegos y juguetes,Azul,08/12/2018,1,43,"James, Olivia",Femenino,80000,Casado,Entre 41 y 50 años,Tienda,Tienda Fortaleza,Brasil,17/11/2025,29
SV Hand Games for students E40 Negro,Juegos en caja,Juegos y juguetes,Negro,08/12/2018,1,250,"Srini, George",Masculino,50000,Soltero,Entre 51 y 60 años,Tienda,Tienda Fortaleza,Brasil,17/11/2025,177
SV Hand Games for 12-16 boys E60 Rojo,Juegos en caja,Juegos y juguetes,Rojo,08/12/2018,2,250,"Simmons, Eric",Masculino,50000,Soltero,Entre 51 y 60 años,Tienda,Tienda Fortaleza,Brasil,17/11/2025,185
Contoso Ultraportable Neoprene Sleeve E30 Amarillo,Accesorios de Computadoras,Computadoras,Amarillo,08/12/2018,51,1560,"Parker, Charles",Masculino,80000,Casado,Entre 41 y 50 años,Tienda,Tienda Fortaleza,Brasil,17/11/2025,1032
Fabrikam Independent Filmmaker 1/3'' 8.5mm X200 Negro,Videocámaras,Cámaras y videocámaras,Negro,08/12/2018,51,1560,"Parker, Charles",Masculino,80000,Casado,Entre 41 y 50 años,Tienda,Tienda Fortaleza,Brasil,17/11/2025,1153
Litware Sistema Home Theater 5.1 Channel M514 Negro,Sistema Home Theater,TV y Video,Negro,08/12/2018,1,850,"Torres, Natalie",Femenino,90000,Soltero,Entre 51 y 60 años,Tienda,Tienda Fortaleza,Brasil,17/11/2025,605
Contoso Projector 720p M620 Blanco,Proyectores y pantallas,Computadoras,Blanco,08/12/2018,51,599,"Perry, Vanessa",Femenino,90000,Soltero,Entre 51 y 60 años,Tienda,Tienda Fortaleza,Brasil,17/11/2025,448
